policy,mean_ms,p50_ms,p90_ms
raw,0.07236630769223386,0.07183900000029553,0.09005859999717813
weak,0.0758295512818053,0.08041399999569876,0.08868660001724038
pseudo,0.08705329487048775,0.08851949998245345,0.10225790000788493
redact,0.08232910256494436,0.08770250001077784,0.10209999999233332
adaptive,0.9620213717949192,0.8809280000008357,0.994976100008671
