policy,leak_text_avg,leak_asr_avg,leak_image_avg,leak_waveform_avg,leak_audio_avg,leak_total,utility_proxy,mean_latency_ms,p50_latency_ms,p90_latency_ms
raw,0.5128,0.5128,0.7436,0.5128,0.7436,3.0256,1.0,0.117,0.108,0.15
weak,0.5128,0.0,0.7436,0.0,0.7436,2.0,0.512195,0.141,0.141,0.185
pseudo,0.5128,0.0,0.0,0.0,0.0,0.5128,1.0,0.16,0.144,0.194
redact,0.5128,0.0,0.0,0.0,0.0,0.5128,0.505051,0.151,0.149,0.195
adaptive,0.359,0.0,0.1026,0.0,0.1026,0.5641,1.0,1.156,1.024,1.186
